Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g)
"Beans, Dry, Black (0% moisture)",,24.4,1.45,
"Beans, Dry, Pinto (0% moisture)",,23.7,1.24,
"Beans, Dry, Great Northern (0% moisture)",,24.7,1.24,
"Broccoli, raw",31.0,2.57,0.34,6.27
"Ketchup, restaurant",488,1.11,0.55,26.8
"Eggs, Grade A, Large, egg white",55.0,10.7,0.0,2.36
"Eggs, Grade A, Large, egg yolk",1400.0,16.2,28.8,1.02
"Oil, canola",,,,
"Oil, corn",,,,
"Oil, soybean",,,,
"Oil, olive, extra virgin",,,,
"Eggs, Grade A, Large, egg whole",617,12.4,9.96,0.96
"Pork, cured, bacon, cooked, restaurant",2090.0,40.9,36.5,2.1
"Butter, stick, unsalted",,,81.5,
"Flour, wheat, all-purpose, enriched, bleached",366,10.9,1.48,77.3
"Flour, wheat, all-purpose, enriched, unbleached",358,13.1,1.48,73.2
"Flour, wheat, all-purpose, unenriched, unbleached",1510.0,12.0,1.7,74.6
"Flour, whole wheat, unenriched",1550.0,15.1,2.73,71.2
"Flour, bread, white, enriched, unbleached",1520.0,14.3,1.65,72.8
"Flour, rice, white, unenriched",359,6.94,1.3,79.8
"Flour, corn, yellow, fine meal, enriched",1520.0,6.2,1.74,80.8
"Butter, stick, salted",,,82.2,
"Onions, red, raw",186,0.94,0.1,9.93
"Onions, yellow, raw",160,0.83,0.05,8.61
"Garlic, raw",597,6.62,0.38,28.2
"Flour, soy, defatted",1530.0,51.1,3.33,32.9
"Flour, soy, full-fat",1890.0,38.6,20.7,27.9
"Flour, rice, brown",365,7.19,3.85,75.5
"Flour, rice, glutinous",1500.0,6.69,1.16,80.1
"Flour, pastry, unenriched, unbleached",1500.0,8.75,1.64,77.2
"Onions, white, raw",148,0.89,0.13,7.68
"Bananas, overripe, raw",357,0.73,0.22,20.1
"Bananas, ripe and slightly ripe, raw",97.0,0.74,0.29,23.0
"Apples, red delicious, with skin, raw",,0.188,0.212,14.8
"Apples, fuji, with skin, raw",,0.148,0.162,15.7
"Apples, gala, with skin, raw",,0.133,0.15,14.8
"Apples, granny smith, with skin, raw",,0.266,0.138,14.1
"Apples, honeycrisp, with skin, raw",,0.102,0.1,14.7
"Oil, peanut",,,,
"Oil, sunflower",,,,
"Oil, safflower",,,,
"Oil, olive, extra light",,,,
"Mushroom, lion's mane",,2.5,0.256,7.59
"Mushroom, oyster",,2.9,0.188,6.94
"Mushrooms, shiitake",,2.41,0.195,8.17
"Mushrooms, white button",,2.89,0.371,4.08
"Soy milk, unsweetened, plain, shelf stable",,3.55,2.12,1.29
"Almond milk, unsweetened, plain, shelf stable",,0.555,1.22,0.337
"Spinach, baby",,2.85,0.619,2.41
"Spinach, mature",,2.91,0.604,2.64
"Tomato, roma",,0.696,0.425,3.84
"Flour, 00",,11.4,1.52,74.4
"Flour, spelt, whole grain",,14.5,2.54,70.7
"Flour, semolina, coarse and semi-coarse",,11.7,1.6,73.8
"Flour, semolina, fine",,13.3,1.84,72.0
"Apple juice, with added vitamin C, from concentrate, shelf stable",,0.086,0.286,11.4
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",,0.734,0.325,10.3
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",,0.258,0.288,15.6
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",,0.094,0.265,15.8
"Cranberry juice, not fortified, from concentrate, shelf stable",,0.0,0.338,7.26
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",,0.57,0.267,9.1
"Tomato juice, with added ingredients, from concentrate, shelf stable",,0.859,0.288,4.32
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",,0.812,0.356,10.0
"Mushroom, portabella",,2.75,0.312,4.66
"Mushroom, king oyster",,2.41,0.308,8.5
"Mushroom, enoki",,2.42,0.245,8.14
"Mushroom, crimini",,3.09,0.197,4.01
"Mushroom, maitake",,2.2,0.265,6.6
"Mushroom, beech",,2.18,0.449,6.76
"Mushroom, pioppini",,3.5,0.24,5.76
"Soy milk, sweetened, plain, refrigerated",,2.78,1.96,3.0
"Almond milk, unsweetened, plain, refrigerated",,0.656,1.56,0.671
"Oat milk, unsweetened, plain, refrigerated",,0.797,2.75,5.1
"Carrots, mature, raw",,0.941,0.351,10.3
"Carrots, baby, raw",,0.805,0.138,9.08
"Peppers, bell, green, raw",,0.715,0.106,4.78
"Peppers, bell, yellow, raw",,0.819,0.121,6.6
"Peppers, bell, red, raw",,0.896,0.126,6.65
"Peppers, bell, orange, raw",,0.882,0.156,6.7
"Buttermilk, low fat",,3.46,1.08,4.81
"Yogurt, plain, whole milk",,3.82,4.48,5.57
"Yogurt, Greek, plain, whole milk",,8.78,4.39,4.75
"Cheese, parmesan, grated, refrigerated",,30.1,29.5,4.33
"Cheese, feta, whole milk, crumbled",,19.7,19.1,5.58
"Flour, almond",,26.2,50.2,16.2
"Flour, oat, whole grain",,13.2,6.31,69.9
"Flour, potato",,8.11,0.951,79.9
"Peanut butter, creamy",,24.0,49.4,22.7
"Sesame butter, creamy",,19.7,62.4,14.2
"Almond butter, creamy",,20.8,53.0,21.2
"Flaxseed, ground",,18.0,37.3,34.4
"Cottage cheese, full fat, large or small curd",,11.6,4.22,4.6
"Cream cheese, full fat, block",,5.79,33.5,4.56
"Cream, heavy",,2.02,35.6,3.8
"Cream, sour, full fat",,3.07,18.0,5.56
"Lettuce, iceberg, raw",,0.742,0.074,3.37
"Lettuce, romaine, green, raw",,0.977,0.071,4.06
"Lettuce, leaf, red, raw",,0.883,0.106,3.26
"Lettuce, leaf, green, raw",,1.09,0.156,4.07
"Nuts, pine nuts, raw",,15.7,61.3,18.6
"Nuts, almonds, whole, raw",,21.5,51.1,20.0
"Nuts, walnuts, English, halves, raw",,14.6,69.7,10.9
"Nuts, pecans, halves, raw",,9.96,73.3,12.7
"Oats, whole grain, rolled, old fashioned",,13.5,5.89,68.7
"Oats, whole grain, steel cut",,12.5,5.8,69.8
"Pineapple, raw",,0.461,0.211,14.1
"Cherries, sweet, dark red, raw",,1.04,0.192,16.2
"Beans, snap, green, raw",,1.97,0.275,7.41
"Potatoes, russet, without skin, raw",,2.27,0.36,17.8
"Potatoes, red, without skin, raw",,2.06,0.248,16.3
"Potatoes, gold, without skin, raw",,1.81,0.264,16.0
"Sweet potatoes, orange flesh, without skin, raw",,1.58,0.375,17.3
"Celery, raw",,0.492,0.162,3.32
"Cucumber, with peel, raw",,0.625,0.178,2.95
"Cabbage, green, raw",,0.961,0.228,6.38
"Cabbage, red, raw",,1.24,0.214,6.79
"Strawberries, raw",,0.641,0.22,7.96
"Raspberries, raw",,1.01,0.188,12.9
"Blueberries, raw",,0.703,0.306,14.6
"Grapes, red, seedless, raw",,0.914,0.164,20.2
"Grapes, green, seedless, raw",,0.899,0.232,18.6
"Applesauce, unsweetened, with added vitamin C",,0.273,0.162,12.3
"Flour, amaranth",,13.2,6.24,68.8
"Flour, quinoa",,11.9,6.6,69.5
"Flour, sorghum",,8.27,3.59,77.4
"Flour, buckwheat",,8.88,2.48,75.0
"Flour, rye",,8.4,1.91,77.2
"Flour, barley",,8.72,2.45,77.4
"Flour, cassava",,0.918,0.494,87.3
"Buckwheat, whole grain",,11.1,3.04,71.1
"Millet, whole grain",,10.0,4.19,74.4
"Rice, brown, long grain, unenriched, raw",,7.25,3.31,76.7
"Rice, white, long grain, unenriched, raw",,7.04,1.03,80.3
"Beef, ground, 90% lean meat / 10% fat, raw",,18.2,12.8,0.0
"Beef, ground, 80% lean meat / 20% fat, raw",,17.5,19.4,0.0
"Pork, ground, raw",,17.8,17.5,0.0
"Chicken, ground, with additives, raw",,17.9,7.16,0.0
"Turkey, ground, 93% lean/ 7% fat, raw",,17.3,9.59,0.0
"Nuts, brazilnuts, raw",,15.0,57.4,21.6
"Nuts, cashew nuts, raw",,17.4,38.9,36.3
"Nuts, hazelnuts or filberts, raw",,13.5,53.5,26.5
"Peanuts, raw",,23.2,43.3,26.5
"Flour, chestnut",,5.29,4.64,80.5
"Nuts, macadamia nuts, raw",,7.79,64.9,24.1
"Nuts, pistachio nuts, raw",,20.5,45.0,27.7
"Seeds, pumpkin seeds (pepitas), raw",,29.9,40.0,18.7
"Seeds, sunflower seed, kernel, raw",,18.9,48.4,24.5
"Flour, coconut",,16.1,15.3,58.9
"Beans, cannellini, dry",,21.6,2.2,59.8
"Chickpeas, (garbanzo beans, bengal gram), dry",,21.3,6.27,60.4
"Lentils, dry",,23.6,1.92,62.2
"Blackeye pea, dry",,21.2,2.42,61.8
"Beans, black, canned, sodium added, drained and rinsed",,6.91,1.27,19.8
"Beans, navy, canned, sodium added, drained and rinsed",,6.57,1.4,20.0
"Beans, cannellini, canned, sodium added, drained and rinsed",,7.41,1.17,18.8
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",,7.02,3.1,20.3
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",,7.8,1.26,21.0
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",,7.31,1.3,21.4
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",,4.73,1.15,12.7
"Beans, pinto, canned, sodium added, drained and rinsed",,6.69,1.27,19.6
"Blackeye pea, canned, sodium added, drained and rinsed",,6.92,1.3,19.2
"Beans, great northern, canned, sodium added, drained and rinsed",,7.03,1.27,19.3
"Pork, loin, boneless, raw",,21.1,9.47,0.0
"Pork, loin, tenderloin, boneless, raw",,21.6,3.9,0.0
"Chicken, breast, boneless, skinless, raw",,22.5,1.93,0.0
"Chicken, thigh, boneless, skinless, raw",,18.6,7.92,0.0
"Beef, ribeye, steak, boneless, choice, raw",,18.7,20.0,0.0
"Beef, round, top round, boneless, choice, raw",,21.5,5.7,0.852
"Beef, chuck, roast, boneless, choice, raw",,18.4,17.8,0.0
"Beef, flank, steak, boneless, choice, raw",,20.1,9.4,0.0
"Yogurt, plain, nonfat",,4.23,0.087,8.08
"Cheese, monterey jack, solid",,22.6,32.6,1.9
"Cheese, pasteurized process cheese food or product, American, singles",,15.6,23.9,8.19
"Cheese, provolone, sliced",,23.5,28.1,2.45
"Cheese, oaxaca, solid",,22.1,22.1,2.4
"Cheese, queso fresco, solid",,18.9,23.4,2.96
"Cheese, cotija, solid",,23.8,27.2,2.72
"Fish, salmon, sockeye, wild caught, raw",,22.3,4.94,0.0
"Fish, salmon, Atlantic, farm raised, raw",,20.3,13.1,0.0
"Fish, tilapia, farm raised, raw",,19.0,2.48,0.0
"Crustaceans, shrimp, farm raised, raw",,15.6,0.801,0.485
"Fish, cod, Atlantic, wild caught, raw",,16.1,0.668,0.0
"Fish, catfish, farm raised, raw",,16.5,7.31,0.0
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",,18.6,0.808,0.0
"Squash, summer, green, zucchini, includes skin, raw",,0.984,0.205,3.27
"Squash, summer, yellow, includes skin, raw",,0.891,0.135,4.39
"Squash, winter, butternut, raw",,1.15,0.168,10.5
"Squash, winter, acorn, raw",,1.25,0.182,10.5
"Cabbage, bok choy, raw",,1.02,0.234,3.51
"Cauliflower, raw",,1.64,0.238,4.72
"Collards, raw",,2.97,0.77,7.02
"Brussels sprouts, raw",,3.98,0.565,9.62
"Beets, raw",,1.69,0.302,8.79
"Eggplant, raw",,0.852,0.12,5.4
"Tomatoes, whole, canned, solids and liquids, with salt added",,0.868,0.206,4.29
"Tomato, sauce, canned, with salt added",,1.35,0.382,6.33
"Tomato, paste, canned, without salt added",,4.23,0.732,20.2
"Tomatoes, crushed, canned",,1.44,0.398,7.14
"Tomato, puree, canned",,1.58,0.265,8.04
"Apricot, with skin, raw",,0.961,0.405,10.2
"Melons, honeydew, raw",,0.531,0.216,8.15
"Plantains, ripe, raw",,1.16,0.893,31.0
"Plantains, underripe, raw",,1.23,0.685,33.6
"Chia seeds, dry, raw",,17.0,32.9,38.3
"Bulgur, dry, raw",,11.8,2.42,75.9
"Wild rice, dry, raw",,12.8,1.7,75.7
"Arugula, baby, raw",,1.65,0.325,5.37
"Asparagus, green, raw",,1.44,0.216,5.1
"Avocado, Hass, peeled, raw",,1.81,20.3,8.32
"Rice, black, unenriched, raw",,7.57,3.44,77.2
"Corn, sweet, yellow and white kernels,  fresh, raw",,2.79,1.63,14.7
"Einkorn, grain, dry, raw",,15.1,3.81,68.7
"Farro, pearled, dry, raw",,12.6,3.1,72.1
"Fonio, grain, dry, raw",,7.17,1.69,81.3
"Khorasan, grain, dry, raw",,14.8,2.8,71.8
"Kiwifruit (kiwi), green, peeled, raw",,1.01,0.64,13.8
"Mandarin, seedless, peeled, raw",,1.04,0.458,13.4
"Mango, Tommy Atkins, peeled, raw",,0.562,0.572,15.3
"Mango, Ataulfo, peeled, raw",,0.688,0.681,17.4
"Corn flour, masa harina, white or yellow, dry, raw",,7.56,4.34,76.7
"Pear, Anjou, green, with skin, raw",,0.312,0.371,14.8
